"TOOL_IDENTIFIER","CATEGORY_CODE","CATEGORY_NAME","COUNT"
"CC BY-NC-SA 4.0","cond-mat.mtrl-sci","Materials Science","1906"
"CC BY-NC-SA 4.0","cond-mat.other","Other Condensed Matter","125"
"CC BY-NC-SA 4.0","cond-mat.quant-gas","Quantum Gases","157"
"CC BY-NC-SA 4.0","cond-mat.soft","Soft Condensed Matter","552"
"CC BY-NC-SA 4.0","cond-mat.stat-mech","Statistical Mechanics","436"
"CC BY-NC-SA 4.0","cond-mat.str-el","Strongly Correlated Electrons","486"
"CC BY-NC-SA 4.0","cond-mat.supr-con","Superconductivity","264"
"CC BY-NC-SA 4.0","cs.AI","Artificial Intelligence","10158"
"CC BY-NC-SA 4.0","cs.AR","Hardware Architecture","428"
"CC BY-NC-SA 4.0","cs.CC","Computational Complexity","209"
"CC BY-NC-SA 4.0","cs.CE","Computational Engineering, Finance, and Science","496"
"CC BY-NC-SA 4.0","cs.CG","Computational Geometry","172"
"CC BY-NC-SA 4.0","cs.CL","Computation and Language","6294"
"CC BY-NC-SA 4.0","cs.CR","Cryptography and Security","2096"
"CC BY-NC-SA 4.0","cs.CV","Computer Vision and Pattern Recognition","11448"
"CC BY-NC-SA 4.0","cs.CY","Computers and Society","2077"
"CC BY-NC-SA 4.0","cs.DB","Databases","403"
"CC BY-NC-SA 4.0","cs.DC","Distributed, Parallel, and Cluster Computing","963"
"CC BY-NC-SA 4.0","cs.DL","Digital Libraries","295"
"CC BY-NC-SA 4.0","cs.DM","Discrete Mathematics","243"
"CC BY-NC-SA 4.0","cs.DS","Data Structures and Algorithms","440"
"CC BY-NC-SA 4.0","cs.ET","Emerging Technologies","334"
"CC BY-NC-SA 4.0","cs.FL","Formal Languages and Automata Theory","98"
"CC BY-NC-SA 4.0","cs.GL","General Literature","7"
"CC BY-NC-SA 4.0","cs.GR","Graphics","573"
"CC BY-NC-SA 4.0","cs.GT","Computer Science and Game Theory","291"
"CC BY-NC-SA 4.0","cs.HC","Human-Computer Interaction","2074"
"CC BY-NC-SA 4.0","cs.IR","Information Retrieval","1226"
"CC BY-NC-SA 4.0","cs.IT","Information Theory","739"
"CC BY-NC-SA 4.0","cs.LG","Machine Learning","12039"
"CC BY-NC-SA 4.0","cs.LO","Logic in Computer Science","330"
"CC BY-NC-SA 4.0","cs.MA","Multiagent Systems","514"
"CC BY-NC-SA 4.0","cs.MM","Multimedia","502"
"CC BY-NC-SA 4.0","cs.MS","Mathematical Software","61"
"CC BY-NC-SA 4.0","cs.NA","Numerical Analysis","1047"
"CC BY-NC-SA 4.0","cs.NE","Neural and Evolutionary Computing","716"
"CC BY-NC-SA 4.0","cs.NI","Networking and Internet Architecture","726"
"CC BY-NC-SA 4.0","cs.OH","Other Computer Science","40"
"CC BY-NC-SA 4.0","cs.OS","Operating Systems","48"
"CC BY-NC-SA 4.0","cs.PF","Performance","191"
"CC BY-NC-SA 4.0","cs.PL","Programming Languages","303"
"CC BY-NC-SA 4.0","cs.RO","Robotics","2581"
"CC BY-NC-SA 4.0","cs.SC","Symbolic Computation","67"
"CC BY-NC-SA 4.0","cs.SD","Sound","1139"
"CC BY-NC-SA 4.0","cs.SE","Software Engineering","1254"
"CC BY-NC-SA 4.0","cs.SI","Social and Information Networks","962"
"CC BY-NC-SA 4.0","cs.SY","Systems and Control","1639"
"CC BY-NC-SA 4.0","econ.EM","Econometrics","207"
"CC BY-NC-SA 4.0","econ.GN","General Economics","374"
"CC BY-NC-SA 4.0","econ.TH","Theoretical Economics","153"
"CC BY-NC-SA 4.0","eess.AS","Audio and Speech Processing","1188"
"CC BY-NC-SA 4.0","eess.IV","Image and Video Processing","1868"
"CC BY-NC-SA 4.0","eess.SP","Signal Processing","1471"
"CC BY-NC-SA 4.0","eess.SY","Systems and Control","1639"
"CC BY-NC-SA 4.0","gr-qc","General Relativity and Quantum Cosmology","759"
"CC BY-NC-SA 4.0","hep-ex","High Energy Physics - Experiment","443"
"CC BY-NC-SA 4.0","hep-lat","High Energy Physics - Lattice","140"
"CC BY-NC-SA 4.0","hep-ph","High Energy Physics - Phenomenology","890"
"CC BY-NC-SA 4.0","hep-th","High Energy Physics - Theory","696"
"CC BY-NC-SA 4.0","math-ph","Mathematical Physics","713"
"CC BY-NC-SA 4.0","math.AC","Commutative Algebra","158"
"CC BY-NC-SA 4.0","math.AG","Algebraic Geometry","602"
"CC BY-NC-SA 4.0","math.AP","Analysis of PDEs","802"
"CC BY-NC-SA 4.0","math.AT","Algebraic Topology","225"
"CC BY-NC-SA 4.0","math.CA","Classical Analysis and ODEs","228"
"CC BY-NC-SA 4.0","math.CO","Combinatorics","1119"
"CC BY-NC-SA 4.0","math.CT","Category Theory","189"
"CC BY-NC-SA 4.0","math.CV","Complex Variables","151"
"CC BY-NC-SA 4.0","math.DG","Differential Geometry","455"
"CC BY-NC-SA 4.0","math.DS","Dynamical Systems","651"
"CC BY-NC-SA 4.0","math.FA","Functional Analysis","418"
"CC BY-NC-SA 4.0","math.GM","General Mathematics","106"
"CC BY-NC-SA 4.0","math.GN","General Topology","92"
"CC BY-NC-SA 4.0","math.GR","Group Theory","229"
"CC BY-NC-SA 4.0","math.GT","Geometric Topology","208"
"CC BY-NC-SA 4.0","math.HO","History and Overview","112"
"CC BY-NC-SA 4.0","math.IT","Information Theory","739"
"CC BY-NC-SA 4.0","math.KT","K-Theory and Homology","62"
"CC BY-NC-SA 4.0","math.LO","Logic","268"
"CC BY-NC-SA 4.0","math.MG","Metric Geometry","129"
"CC BY-NC-SA 4.0","math.MP","Mathematical Physics","713"
"CC BY-NC-SA 4.0","math.NA","Numerical Analysis","1047"
"CC BY-NC-SA 4.0","math.NT","Number Theory","575"
"CC BY-NC-SA 4.0","math.OA","Operator Algebras","104"
"CC BY-NC-SA 4.0","math.OC","Optimization and Control","1241"
"CC BY-NC-SA 4.0","math.PR","Probability","650"
"CC BY-NC-SA 4.0","math.QA","Quantum Algebra","143"
"CC BY-NC-SA 4.0","math.RA","Rings and Algebras","213"
"CC BY-NC-SA 4.0","math.RT","Representation Theory","255"
"CC BY-NC-SA 4.0","math.SG","Symplectic Geometry","106"
"CC BY-NC-SA 4.0","math.SP","Spectral Theory","149"
"CC BY-NC-SA 4.0","math.ST","Statistics Theory","468"
"CC BY-NC-SA 4.0","nlin.AO","Adaptation and Self-Organizing Systems","174"
"CC BY-NC-SA 4.0","nlin.CD","Chaotic Dynamics","182"
"CC BY-NC-SA 4.0","nlin.CG","Cellular Automata and Lattice Gases","28"
"CC BY-NC-SA 4.0","nlin.PS","Pattern Formation and Solitons","112"
"CC BY-NC-SA 4.0","nlin.SI","Exactly Solvable and Integrable Systems","51"
"CC BY-NC-SA 4.0","nucl-ex","Nuclear Experiment","247"
"CC BY-NC-SA 4.0","nucl-th","Nuclear Theory","391"
"CC BY-NC-SA 4.0","physics.acc-ph","Accelerator Physics","102"
"CC BY-NC-SA 4.0","physics.ao-ph","Atmospheric and Oceanic Physics","324"
"CC BY-NC-SA 4.0","physics.app-ph","Applied Physics","743"
"CC BY-NC-SA 4.0","physics.atm-clus","Atomic and Molecular Clusters","42"
"CC BY-NC-SA 4.0","physics.atom-ph","Atomic Physics","249"
"CC BY-NC-SA 4.0","physics.bio-ph","Biological Physics","362"
"CC BY-NC-SA 4.0","physics.chem-ph","Chemical Physics","624"
"CC BY-NC-SA 4.0","physics.class-ph","Classical Physics","113"
"CC BY-NC-SA 4.0","physics.comp-ph","Computational Physics","631"
"CC BY-NC-SA 4.0","physics.data-an","Data Analysis, Statistics and Probability","224"
"CC BY-NC-SA 4.0","physics.ed-ph","Physics Education","181"
"CC BY-NC-SA 4.0","physics.flu-dyn","Fluid Dynamics","657"
"CC BY-NC-SA 4.0","physics.gen-ph","General Physics","78"
"CC BY-NC-SA 4.0","physics.geo-ph","Geophysics","282"
"CC BY-NC-SA 4.0","physics.hist-ph","History and Philosophy of Physics","96"
"CC BY-NC-SA 4.0","physics.ins-det","Instrumentation and Detectors","452"
"CC BY-NC-SA 4.0","physics.med-ph","Medical Physics","330"
"CC BY-NC-SA 4.0","physics.optics","Optics","1023"
"CC BY-NC-SA 4.0","physics.plasm-ph","Plasma Physics","333"
"CC BY-NC-SA 4.0","physics.pop-ph","Popular Physics","76"
"CC BY-NC-SA 4.0","physics.soc-ph","Physics and Society","596"
"CC BY-NC-SA 4.0","physics.space-ph","Space Physics","193"
"CC BY-NC-SA 4.0","q-bio.BM","Biomolecules","279"
"CC BY-NC-SA 4.0","q-bio.CB","Cell Behavior","80"
"CC BY-NC-SA 4.0","q-bio.GN","Genomics","158"
"CC BY-NC-SA 4.0","q-bio.MN","Molecular Networks","124"
"CC BY-NC-SA 4.0","q-bio.NC","Neurons and Cognition","589"
"CC BY-NC-SA 4.0","q-bio.OT","Other Quantitative Biology","63"
"CC BY-NC-SA 4.0","q-bio.PE","Populations and Evolution","390"
"CC BY-NC-SA 4.0","q-bio.QM","Quantitative Methods","660"
"CC BY-NC-SA 4.0","q-bio.SC","Subcellular Processes","28"
"CC BY-NC-SA 4.0","q-bio.TO","Tissues and Organs","124"
"CC BY-NC-SA 4.0","q-fin.CP","Computational Finance","89"
"CC BY-NC-SA 4.0","q-fin.EC","Economics","374"
"CC BY-NC-SA 4.0","q-fin.GN","General Finance","68"
"CC BY-NC-SA 4.0","q-fin.MF","Mathematical Finance","50"
"CC BY-NC-SA 4.0","q-fin.PM","Portfolio Management","68"
"CC BY-NC-SA 4.0","q-fin.PR","Pricing of Securities","29"
"CC BY-NC-SA 4.0","q-fin.RM","Risk Management","71"
"CC BY-NC-SA 4.0","q-fin.ST","Statistical Finance","90"
"CC BY-NC-SA 4.0","q-fin.TR","Trading and Market Microstructure","69"
"CC BY-NC-SA 4.0","quant-ph","Quantum Physics","1878"
"CC BY-NC-SA 4.0","stat.AP","Applications","882"
"CC BY-NC-SA 4.0","stat.CO","Computation","236"
"CC BY-NC-SA 4.0","stat.ME","Methodology","1118"
"CC BY-NC-SA 4.0","stat.ML","Machine Learning","2094"
"CC BY-NC-SA 4.0","stat.OT","Other Statistics","90"
"CC BY-NC-SA 4.0","stat.TH","Statistics Theory","468"
"CC BY-SA 4.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","233"
"CC BY-SA 4.0","astro-ph.EP","Earth and Planetary Astrophysics","264"
"CC BY-SA 4.0","astro-ph.GA","Astrophysics of Galaxies","472"
"CC BY-SA 4.0","astro-ph.HE","High Energy Astrophysical Phenomena","426"
"CC BY-SA 4.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","406"
"CC BY-SA 4.0","astro-ph.SR","Solar and Stellar Astrophysics","346"
"CC BY-SA 4.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","101"
"CC BY-SA 4.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","280"
"CC BY-SA 4.0","cond-mat.mtrl-sci","Materials Science","573"
"CC BY-SA 4.0","cond-mat.other","Other Condensed Matter","38"
"CC BY-SA 4.0","cond-mat.quant-gas","Quantum Gases","64"
"CC BY-SA 4.0","cond-mat.soft","Soft Condensed Matter","211"
"CC BY-SA 4.0","cond-mat.stat-mech","Statistical Mechanics","243"
"CC BY-SA 4.0","cond-mat.str-el","Strongly Correlated Electrons","189"
"CC BY-SA 4.0","cond-mat.supr-con","Superconductivity","49"
"CC BY-SA 4.0","cs.AI","Artificial Intelligence","4889"
"CC BY-SA 4.0","cs.AR","Hardware Architecture","232"
"CC BY-SA 4.0","cs.CC","Computational Complexity","134"
"CC BY-SA 4.0","cs.CE","Computational Engineering, Finance, and Science","207"
"CC BY-SA 4.0","cs.CG","Computational Geometry","79"
"CC BY-SA 4.0","cs.CL","Computation and Language","4143"
"CC BY-SA 4.0","cs.CR","Cryptography and Security","945"
"CC BY-SA 4.0","cs.CV","Computer Vision and Pattern Recognition","3642"
"CC BY-SA 4.0","cs.CY","Computers and Society","873"
"CC BY-SA 4.0","cs.DB","Databases","212"
"CC BY-SA 4.0","cs.DC","Distributed, Parallel, and Cluster Computing","532"
"CC BY-SA 4.0","cs.DL","Digital Libraries","172"
"CC BY-SA 4.0","cs.DM","Discrete Mathematics","134"
"CC BY-SA 4.0","cs.DS","Data Structures and Algorithms","291"
"CC BY-SA 4.0","cs.ET","Emerging Technologies","126"
"CC BY-SA 4.0","cs.FL","Formal Languages and Automata Theory","65"
"CC BY-SA 4.0","cs.GL","General Literature","7"
"CC BY-SA 4.0","cs.GR","Graphics","244"
"CC BY-SA 4.0","cs.GT","Computer Science and Game Theory","133"
"CC BY-SA 4.0","cs.HC","Human-Computer Interaction","937"
"CC BY-SA 4.0","cs.IR","Information Retrieval","620"
"CC BY-SA 4.0","cs.IT","Information Theory","327"
"CC BY-SA 4.0","cs.LG","Machine Learning","5557"
"CC BY-SA 4.0","cs.LO","Logic in Computer Science","300"
"CC BY-SA 4.0","cs.MA","Multiagent Systems","216"
"CC BY-SA 4.0","cs.MM","Multimedia","168"
"CC BY-SA 4.0","cs.MS","Mathematical Software","57"
"CC BY-SA 4.0","cs.NA","Numerical Analysis","449"
"CC BY-SA 4.0","cs.NE","Neural and Evolutionary Computing","306"
"CC BY-SA 4.0","cs.NI","Networking and Internet Architecture","372"
"CC BY-SA 4.0","cs.OH","Other Computer Science","9"
"CC BY-SA 4.0","cs.OS","Operating Systems","41"
"CC BY-SA 4.0","cs.PF","Performance","126"
"CC BY-SA 4.0","cs.PL","Programming Languages","296"
"CC BY-SA 4.0","cs.RO","Robotics","1018"
"CC BY-SA 4.0","cs.SC","Symbolic Computation","42"
"CC BY-SA 4.0","cs.SD","Sound","659"
"CC BY-SA 4.0","cs.SE","Software Engineering","779"
"CC BY-SA 4.0","cs.SI","Social and Information Networks","358"
"CC BY-SA 4.0","cs.SY","Systems and Control","725"
"CC BY-SA 4.0","econ.EM","Econometrics","67"
"CC BY-SA 4.0","econ.GN","General Economics","136"
"CC BY-SA 4.0","econ.TH","Theoretical Economics","41"
"CC BY-SA 4.0","eess.AS","Audio and Speech Processing","710"
"CC BY-SA 4.0","eess.IV","Image and Video Processing","592"
"CC BY-SA 4.0","eess.SP","Signal Processing","584"
"CC BY-SA 4.0","eess.SY","Systems and Control","725"
"CC BY-SA 4.0","gr-qc","General Relativity and Quantum Cosmology","310"
"CC BY-SA 4.0","hep-ex","High Energy Physics - Experiment","308"
"CC BY-SA 4.0","hep-lat","High Energy Physics - Lattice","74"
"CC BY-SA 4.0","hep-ph","High Energy Physics - Phenomenology","496"
"CC BY-SA 4.0","hep-th","High Energy Physics - Theory","465"
"CC BY-SA 4.0","math-ph","Mathematical Physics","673"
"CC BY-SA 4.0","math.AC","Commutative Algebra","123"
"CC BY-SA 4.0","math.AG","Algebraic Geometry","595"
"CC BY-SA 4.0","math.AP","Analysis of PDEs","338"
"CC BY-SA 4.0","math.AT","Algebraic Topology","120"
"CC BY-SA 4.0","math.CA","Classical Analysis and ODEs","246"
"CC BY-SA 4.0","math.CO","Combinatorics","644"
"CC BY-SA 4.0","math.CT","Category Theory","127"
"CC BY-SA 4.0","math.CV","Complex Variables","103"
"CC BY-SA 4.0","math.DG","Differential Geometry","439"
"CC BY-SA 4.0","math.DS","Dynamical Systems","276"
"CC BY-SA 4.0","math.FA","Functional Analysis","213"
"CC BY-SA 4.0","math.GM","General Mathematics","73"
"CC BY-SA 4.0","math.GN","General Topology","36"
"CC BY-SA 4.0","math.GR","Group Theory","126"
"CC BY-SA 4.0","math.GT","Geometric Topology","108"
"CC BY-SA 4.0","math.HO","History and Overview","70"
"CC BY-SA 4.0","math.IT","Information Theory","327"
"CC BY-SA 4.0","math.KT","K-Theory and Homology","57"
"CC BY-SA 4.0","math.LO","Logic","101"
"CC BY-SA 4.0","math.MG","Metric Geometry","83"
"CC BY-SA 4.0","math.MP","Mathematical Physics","673"
"CC BY-SA 4.0","math.NA","Numerical Analysis","449"
"CC BY-SA 4.0","math.NT","Number Theory","316"
"CC BY-SA 4.0","math.OA","Operator Algebras","85"
"CC BY-SA 4.0","math.OC","Optimization and Control","665"
"CC BY-SA 4.0","math.PR","Probability","379"
"CC BY-SA 4.0","math.QA","Quantum Algebra","225"
"CC BY-SA 4.0","math.RA","Rings and Algebras","149"
"CC BY-SA 4.0","math.RT","Representation Theory","275"
"CC BY-SA 4.0","math.SG","Symplectic Geometry","96"
"CC BY-SA 4.0","math.SP","Spectral Theory","48"
"CC BY-SA 4.0","math.ST","Statistics Theory","216"
"CC BY-SA 4.0","nlin.AO","Adaptation and Self-Organizing Systems","54"
"CC BY-SA 4.0","nlin.CD","Chaotic Dynamics","56"
"CC BY-SA 4.0","nlin.CG","Cellular Automata and Lattice Gases","8"
"CC BY-SA 4.0","nlin.PS","Pattern Formation and Solitons","39"
"CC BY-SA 4.0","nlin.SI","Exactly Solvable and Integrable Systems","152"
"CC BY-SA 4.0","nucl-ex","Nuclear Experiment","148"
"CC BY-SA 4.0","nucl-th","Nuclear Theory","202"
"CC BY-SA 4.0","physics.acc-ph","Accelerator Physics","46"
"CC BY-SA 4.0","physics.ao-ph","Atmospheric and Oceanic Physics","127"
"CC BY-SA 4.0","physics.app-ph","Applied Physics","238"
"CC BY-SA 4.0","physics.atm-clus","Atomic and Molecular Clusters","14"
"CC BY-SA 4.0","physics.atom-ph","Atomic Physics","91"
"CC BY-SA 4.0","physics.bio-ph","Biological Physics","137"
"CC BY-SA 4.0","physics.chem-ph","Chemical Physics","235"
"CC BY-SA 4.0","physics.class-ph","Classical Physics","48"
"CC BY-SA 4.0","physics.comp-ph","Computational Physics","299"
"CC BY-SA 4.0","physics.data-an","Data Analysis, Statistics and Probability","119"
"CC BY-SA 4.0","physics.ed-ph","Physics Education","60"
"CC BY-SA 4.0","physics.flu-dyn","Fluid Dynamics","302"
"CC BY-SA 4.0","physics.gen-ph","General Physics","28"
"CC BY-SA 4.0","physics.geo-ph","Geophysics","94"
"CC BY-SA 4.0","physics.hist-ph","History and Philosophy of Physics","31"
"CC BY-SA 4.0","physics.ins-det","Instrumentation and Detectors","216"
"CC BY-SA 4.0","physics.med-ph","Medical Physics","106"
"CC BY-SA 4.0","physics.optics","Optics","367"
"CC BY-SA 4.0","physics.plasm-ph","Plasma Physics","131"
"CC BY-SA 4.0","physics.pop-ph","Popular Physics","19"
"CC BY-SA 4.0","physics.soc-ph","Physics and Society","228"
"CC BY-SA 4.0","physics.space-ph","Space Physics","70"
"CC BY-SA 4.0","q-bio.BM","Biomolecules","83"
"CC BY-SA 4.0","q-bio.CB","Cell Behavior","34"
"CC BY-SA 4.0","q-bio.GN","Genomics","57"
"CC BY-SA 4.0","q-bio.MN","Molecular Networks","34"
"CC BY-SA 4.0","q-bio.NC","Neurons and Cognition","197"
"CC BY-SA 4.0","q-bio.OT","Other Quantitative Biology","65"
"CC BY-SA 4.0","q-bio.PE","Populations and Evolution","127"
"CC BY-SA 4.0","q-bio.QM","Quantitative Methods","258"
"CC BY-SA 4.0","q-bio.SC","Subcellular Processes","11"
"CC BY-SA 4.0","q-bio.TO","Tissues and Organs","24"
"CC BY-SA 4.0","q-fin.CP","Computational Finance","60"
"CC BY-SA 4.0","q-fin.EC","Economics","136"
"CC BY-SA 4.0","q-fin.GN","General Finance","27"
"CC BY-SA 4.0","q-fin.MF","Mathematical Finance","31"
"CC BY-SA 4.0","q-fin.PM","Portfolio Management","24"
"CC BY-SA 4.0","q-fin.PR","Pricing of Securities","22"
"CC BY-SA 4.0","q-fin.RM","Risk Management","31"
"CC BY-SA 4.0","q-fin.ST","Statistical Finance","53"
"CC BY-SA 4.0","q-fin.TR","Trading and Market Microstructure","25"
"CC BY-SA 4.0","quant-ph","Quantum Physics","916"
"CC BY-SA 4.0","stat.AP","Applications","378"
"CC BY-SA 4.0","stat.CO","Computation","140"
"CC BY-SA 4.0","stat.ME","Methodology","418"
"CC BY-SA 4.0","stat.ML","Machine Learning","829"
"CC BY-SA 4.0","stat.OT","Other Statistics","39"
"CC BY-SA 4.0","stat.TH","Statistics Theory","216"
"CC0 1.0","astro-ph.CO","Cosmology and Nongalactic Astrophysics","378"
"CC0 1.0","astro-ph.EP","Earth and Planetary Astrophysics","185"
"CC0 1.0","astro-ph.GA","Astrophysics of Galaxies","473"
"CC0 1.0","astro-ph.HE","High Energy Astrophysical Phenomena","544"
"CC0 1.0","astro-ph.IM","Instrumentation and Methods for Astrophysics","200"
"CC0 1.0","astro-ph.SR","Solar and Stellar Astrophysics","474"
"CC0 1.0","cond-mat.dis-nn","Disordered Systems and Neural Networks","85"
"CC0 1.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","527"
"CC0 1.0","cond-mat.mtrl-sci","Materials Science","604"
"CC0 1.0","cond-mat.other","Other Condensed Matter","67"
"CC0 1.0","cond-mat.quant-gas","Quantum Gases","146"
"CC0 1.0","cond-mat.soft","Soft Condensed Matter","149"
"CC0 1.0","cond-mat.stat-mech","Statistical Mechanics","334"
"CC0 1.0","cond-mat.str-el","Strongly Correlated Electrons","377"
"CC0 1.0","cond-mat.supr-con","Superconductivity","174"
"CC0 1.0","cs.AI","Artificial Intelligence","1577"
"CC0 1.0","cs.AR","Hardware Architecture","81"
"CC0 1.0","cs.CC","Computational Complexity","56"
"CC0 1.0","cs.CE","Computational Engineering, Finance, and Science","66"
"CC0 1.0","cs.CG","Computational Geometry","41"
"CC0 1.0","cs.CL","Computation and Language","968"
"CC0 1.0","cs.CR","Cryptography and Security","526"
"CC0 1.0","cs.CV","Computer Vision and Pattern Recognition","1617"
"CC0 1.0","cs.CY","Computers and Society","253"
"CC0 1.0","cs.DB","Databases","84"
"CC0 1.0","cs.DC","Distributed, Parallel, and Cluster Computing","251"
"CC0 1.0","cs.DL","Digital Libraries","51"
"CC0 1.0","cs.DM","Discrete Mathematics","82"
"CC0 1.0","cs.DS","Data Structures and Algorithms","134"
"CC0 1.0","cs.ET","Emerging Technologies","51"
"CC0 1.0","cs.FL","Formal Languages and Automata Theory","31"
"CC0 1.0","cs.GL","General Literature","2"
"CC0 1.0","cs.GR","Graphics","62"
"CC0 1.0","cs.GT","Computer Science and Game Theory","82"
"CC0 1.0","cs.HC","Human-Computer Interaction","193"
"CC0 1.0","cs.IR","Information Retrieval","224"
"CC0 1.0","cs.IT","Information Theory","517"
"CC0 1.0","cs.LG","Machine Learning","2234"
"CC0 1.0","cs.LO","Logic in Computer Science","76"
"CC0 1.0","cs.MA","Multiagent Systems","53"
"CC0 1.0","cs.MM","Multimedia","69"
"CC0 1.0","cs.MS","Mathematical Software","8"
"CC0 1.0","cs.NA","Numerical Analysis","441"
"CC0 1.0","cs.NE","Neural and Evolutionary Computing","144"
"CC0 1.0","cs.NI","Networking and Internet Architecture","290"
"CC0 1.0","cs.OH","Other Computer Science","13"
"CC0 1.0","cs.OS","Operating Systems","12"
"CC0 1.0","cs.PF","Performance","50"
"CC0 1.0","cs.PL","Programming Languages","41"
"CC0 1.0","cs.RO","Robotics","395"
"CC0 1.0","cs.SC","Symbolic Computation","20"
"CC0 1.0","cs.SD","Sound","216"
"CC0 1.0","cs.SE","Software Engineering","266"
"CC0 1.0","cs.SI","Social and Information Networks","164"
"CC0 1.0","cs.SY","Systems and Control","386"
"CC0 1.0","econ.EM","Econometrics","76"
"CC0 1.0","econ.GN","General Economics","106"
"CC0 1.0","econ.TH","Theoretical Economics","49"
"CC0 1.0","eess.AS","Audio and Speech Processing","223"
"CC0 1.0","eess.IV","Image and Video Processing","341"
"CC0 1.0","eess.SP","Signal Processing","573"
"CC0 1.0","eess.SY","Systems and Control","386"
"CC0 1.0","gr-qc","General Relativity and Quantum Cosmology","807"
"CC0 1.0","hep-ex","High Energy Physics - Experiment","387"
"CC0 1.0","hep-lat","High Energy Physics - Lattice","102"
"CC0 1.0","hep-ph","High Energy Physics - Phenomenology","1201"
"CC0 1.0","hep-th","High Energy Physics - Theory","897"
"CC0 1.0","math-ph","Mathematical Physics","500"
"CC0 1.0","math.AC","Commutative Algebra","128"
"CC0 1.0","math.AG","Algebraic Geometry","279"
"CC0 1.0","math.AP","Analysis of PDEs","875"
"CC0 1.0","math.AT","Algebraic Topology","112"
"CC0 1.0","math.CA","Classical Analysis and ODEs","237"
"CC0 1.0","math.CO","Combinatorics","566"
"CC0 1.0","math.CT","Category Theory","75"
"CC0 1.0","math.CV","Complex Variables","173"
"CC0 1.0","math.DG","Differential Geometry","392"
"CC0 1.0","math.DS","Dynamical Systems","331"
"CC0 1.0","math.FA","Functional Analysis","364"
"CC0 1.0","math.GM","General Mathematics","57"
"CC0 1.0","math.GN","General Topology","71"
"CC0 1.0","math.GR","Group Theory","204"
"CC0 1.0","math.GT","Geometric Topology","135"
"CC0 1.0","math.HO","History and Overview","50"
"CC0 1.0","math.IT","Information Theory","517"
"CC0 1.0","math.KT","K-Theory and Homology","35"
"CC0 1.0","math.LO","Logic","117"
"CC0 1.0","math.MG","Metric Geometry","127"
"CC0 1.0","math.MP","Mathematical Physics","500"
"CC0 1.0","math.NA","Numerical Analysis","441"
"CC0 1.0","math.NT","Number Theory","372"
"CC0 1.0","math.OA","Operator Algebras","62"
"CC0 1.0","math.OC","Optimization and Control","520"
"CC0 1.0","math.PR","Probability","473"
"CC0 1.0","math.QA","Quantum Algebra","82"
"CC0 1.0","math.RA","Rings and Algebras","294"
"CC0 1.0","math.RT","Representation Theory","217"
"CC0 1.0","math.SG","Symplectic Geometry","35"
"CC0 1.0","math.SP","Spectral Theory","81"
"CC0 1.0","math.ST","Statistics Theory","204"
"CC0 1.0","nlin.AO","Adaptation and Self-Organizing Systems","62"
"CC0 1.0","nlin.CD","Chaotic Dynamics","64"
"CC0 1.0","nlin.CG","Cellular Automata and Lattice Gases","14"
"CC0 1.0","nlin.PS","Pattern Formation and Solitons","75"
"CC0 1.0","nlin.SI","Exactly Solvable and Integrable Systems","70"
"CC0 1.0","nucl-ex","Nuclear Experiment","188"
"CC0 1.0","nucl-th","Nuclear Theory","426"
"CC0 1.0","physics.acc-ph","Accelerator Physics","56"
"CC0 1.0","physics.ao-ph","Atmospheric and Oceanic Physics","46"
"CC0 1.0","physics.app-ph","Applied Physics","256"
"CC0 1.0","physics.atm-clus","Atomic and Molecular Clusters","15"
"CC0 1.0","physics.atom-ph","Atomic Physics","108"
"CC0 1.0","physics.bio-ph","Biological Physics","91"
"CC0 1.0","physics.chem-ph","Chemical Physics","139"
"CC0 1.0","physics.class-ph","Classical Physics","49"
"CC0 1.0","physics.comp-ph","Computational Physics","202"
"CC0 1.0","physics.data-an","Data Analysis, Statistics and Probability","40"
"CC0 1.0","physics.ed-ph","Physics Education","34"
"CC0 1.0","physics.flu-dyn","Fluid Dynamics","249"
"CC0 1.0","physics.gen-ph","General Physics","74"
"CC0 1.0","physics.geo-ph","Geophysics","53"
"CC0 1.0","physics.hist-ph","History and Philosophy of Physics","32"
"CC0 1.0","physics.ins-det","Instrumentation and Detectors","146"
"CC0 1.0","physics.med-ph","Medical Physics","65"
"CC0 1.0","physics.optics","Optics","314"
"CC0 1.0","physics.plasm-ph","Plasma Physics","138"
"CC0 1.0","physics.pop-ph","Popular Physics","13"
"CC0 1.0","physics.soc-ph","Physics and Society","152"
"CC0 1.0","physics.space-ph","Space Physics","38"
"CC0 1.0","q-bio.BM","Biomolecules","35"
"CC0 1.0","q-bio.CB","Cell Behavior","9"
"CC0 1.0","q-bio.GN","Genomics","22"
"CC0 1.0","q-bio.MN","Molecular Networks","14"
"CC0 1.0","q-bio.NC","Neurons and Cognition","106"
"CC0 1.0","q-bio.OT","Other Quantitative Biology","15"
"CC0 1.0","q-bio.PE","Populations and Evolution","79"
"CC0 1.0","q-bio.QM","Quantitative Methods","91"
"CC0 1.0","q-bio.SC","Subcellular Processes","4"
"CC0 1.0","q-bio.TO","Tissues and Organs","26"
